Usage for: ,8126046112

"DATA SERVICE CHARGES"

Total use:,2343.83 GB

Date,Service,Volume,Measurement,
01/05/2016,Internet Access,4.7832,Megabytes,
01/05/2016,Internet Access,5.7783,Megabytes,
01/05/2016,Internet Access,71.247,Megabytes,
01/05/2016,Internet Access,1.3779,Megabytes,
01/05/2016,Internet Access,2.8671,Megabytes,
01/05/2016,Internet Access,28.5429,Megabytes,
01/04/2016,Internet Access,0.8603,Megabytes,
01/04/2016,Internet Access,0.5693,Megabytes,
01/04/2016,Internet Access,6.8828,Megabytes,
01/04/2016,Internet Access,1.2695,Megabytes,
01/04/2016,Internet Access,3.6123,Megabytes,
01/04/2016,Internet Access,5.1435,Megabytes,
01/04/2016,Internet Access,9.2285,Megabytes,
01/04/2016,Internet Access,0.9785,Megabytes,
01/04/2016,Internet Access,0.1044,Megabytes,
01/04/2016,Internet Access,1.3779,Megabytes,
01/04/2016,Internet Access,1.3535,Megabytes,
01/04/2016,Internet Access,0.8603,Megabytes,
01/04/2016,Internet Access,0.7626,Megabytes,
01/03/2016,Internet Access,0.3417,Megabytes,
01/03/2016,Internet Access,5.2431,Megabytes,
01/03/2016,Internet Access,9.1777,Megabytes,
01/03/2016,Internet Access,7.996,Megabytes,
01/03/2016,Internet Access,0.289,Megabytes,
01/03/2016,Internet Access,0.0039,Megabytes,
01/03/2016,Internet Access,0.0019,Megabytes,
01/03/2016,Internet Access,0.0009,Megabytes,
01/03/2016,Internet Access,0.0029,Megabytes,
01/03/2016,Internet Access,0.0029,Megabytes,
01/03/2016,Internet Access,0.2031,Megabytes,
01/03/2016,Internet Access,0.3613,Megabytes,
01/03/2016,Internet Access,1.2294,Megabytes,
01/03/2016,Internet Access,1.9833,Megabytes,
01/03/2016,Internet Access,1.2607,Megabytes,
01/03/2016,Internet Access,4.2939,Megabytes,
01/03/2016,Internet Access,76.2255,Megabytes,
01/03/2016,Internet Access,924.4238,Megabytes,
01/03/2016,Internet Access,400.08,Megabytes,
01/02/2016,Internet Access,0.5146,Megabytes,
01/02/2016,Internet Access,0.7802,Megabytes,
01/02/2016,Internet Access,1.0185,Megabytes,
01/02/2016,Internet Access,1.0898,Megabytes,
01/02/2016,Internet Access,0.0478,Megabytes,
01/02/2016,Internet Access,1.458,Megabytes,
01/02/2016,Internet Access,2.0498,Megabytes,
01/02/2016,Internet Access,6.6083,Megabytes,
01/02/2016,Internet Access,9.4794,Megabytes,
01/02/2016,Internet Access,685.6943,Megabytes,
01/02/2016,Internet Access,1.1035,Megabytes,
01/02/2016,Internet Access,1.4355,Megabytes,
01/02/2016,Internet Access,0.749,Megabytes,
01/02/2016,Internet Access,1.414,Megabytes,
01/01/2016,Internet Access,2.1904,Megabytes,
01/01/2016,Internet Access,0.6396,Megabytes,
01/01/2016,Internet Access,6.6787,Megabytes,
01/01/2016,Internet Access,1.1308,Megabytes,
01/01/2016,Internet Access,0.8759,Megabytes,
01/01/2016,Internet Access,0.9687,Megabytes,
01/01/2016,Internet Access,0.0009,Megabytes,
01/01/2016,Internet Access,0.0019,Megabytes,
01/01/2016,Internet Access,0.0029,Megabytes,
01/01/2016,Internet Access,0.0224,Megabytes,
01/01/2016,Internet Access,0.0009,Megabytes,
01/01/2016,Internet Access,0.0029,Megabytes,
01/01/2016,Internet Access,0.0009,Megabytes,
01/01/2016,Internet Access,0.0029,Megabytes,
01/01/2016,Internet Access,0.0029,Megabytes,
01/01/2016,Internet Access,0.0195,Megabytes,
01/01/2016,Internet Access,0.0019,Megabytes,
01/01/2016,Internet Access,0.0019,Megabytes,
01/01/2016,Internet Access,0.0029,Megabytes,
01/01/2016,Internet Access,0.0039,Megabytes,
01/01/2016,Internet Access,0.0029,Megabytes,
01/01/2016,Internet Access,0.0019,Megabytes,
01/01/2016,Internet Access,0.0019,Megabytes,
01/01/2016,Internet Access,0.0019,Megabytes,
01/01/2016,Internet Access,0.0029,Megabytes,
01/01/2016,Internet Access,0.0029,Megabytes,
01/01/2016,Internet Access,0.0019,Megabytes,
01/01/2016,Internet Access,0.0029,Megabytes,
01/01/2016,Internet Access,0.0029,Megabytes,
01/01/2016,Internet Access,0.0029,Megabytes,
01/01/2016,Internet Access,0.0019,Megabytes,
12/31/2015,Internet Access,0.0029,Megabytes,
12/31/2015,Internet Access,0.0009,Megabytes,
12/31/2015,Internet Access,0.0029,Megabytes,
12/31/2015,Internet Access,0.0009,Megabytes,
12/31/2015,Internet Access,0.0009,Megabytes,
12/31/2015,Internet Access,0.0019,Megabytes,
12/31/2015,Internet Access,0.0126,Megabytes,
12/31/2015,Internet Access,0.0009,Megabytes,
12/31/2015,Internet Access,0.0029,Megabytes,
12/31/2015,Internet Access,0.4707,Megabytes,
12/31/2015,Internet Access,0.0009,Megabytes,
12/31/2015,Internet Access,1.0458,Megabytes,
12/31/2015,Internet Access,0.1845,Megabytes,
12/31/2015,Internet Access,4.2705,Megabytes,
12/31/2015,Internet Access,18.5371,Megabytes,
12/31/2015,Internet Access,0.8857,Megabytes,
12/31/2015,Internet Access,1.3466,Megabytes,
12/31/2015,Internet Access,0.4951,Megabytes,
12/31/2015,Internet Access,4.3544,Megabytes,
12/31/2015,Internet Access,0.0019,Megabytes,
12/31/2015,Internet Access,0.0029,Megabytes,
12/31/2015,Internet Access,0.0019,Megabytes,
12/31/2015,Internet Access,0.0029,Megabytes,
12/31/2015,Internet Access,0.0029,Megabytes,
12/31/2015,Internet Access,0.0029,Megabytes,
12/31/2015,Internet Access,0.0146,Megabytes,
12/31/2015,Internet Access,0.0029,Megabytes,
12/31/2015,Internet Access,0.0029,Megabytes,
12/31/2015,Internet Access,0.0048,Megabytes,
12/30/2015,Internet Access,0.0468,Megabytes,
12/30/2015,Internet Access,0.0029,Megabytes,
12/30/2015,Internet Access,0.0029,Megabytes,
12/30/2015,Internet Access,0.0019,Megabytes,
12/30/2015,Internet Access,0.0029,Megabytes,
12/30/2015,Internet Access,0.0087,Megabytes,
12/30/2015,Internet Access,0.0019,Megabytes,
12/30/2015,Internet Access,0.0839,Megabytes,
12/30/2015,Internet Access,0.0029,Megabytes,
12/30/2015,Internet Access,0.0205,Megabytes,
12/30/2015,Internet Access,0.0019,Megabytes,
12/30/2015,Internet Access,0.0029,Megabytes,
12/30/2015,Internet Access,0.0371,Megabytes,
12/30/2015,Internet Access,0.0029,Megabytes,
12/30/2015,Internet Access,0.0009,Megabytes,
12/30/2015,Internet Access,0.0019,Megabytes,
12/30/2015,Internet Access,0.0966,Megabytes,
12/30/2015,Internet Access,0.0039,Megabytes,
12/30/2015,Internet Access,0.0302,Megabytes,
12/30/2015,Internet Access,0.0029,Megabytes,
12/30/2015,Internet Access,0.0029,Megabytes,
12/30/2015,Internet Access,0.0019,Megabytes,
12/30/2015,Internet Access,0.0019,Megabytes,
12/30/2015,Internet Access,0.0029,Megabytes,
12/30/2015,Internet Access,0.0019,Megabytes,
12/30/2015,Internet Access,0.0029,Megabytes,
12/30/2015,Internet Access,0.0029,Megabytes,
12/30/2015,Internet Access,0.0019,Megabytes,
12/30/2015,Internet Access,0.0019,Megabytes,
12/30/2015,Internet Access,0.0029,Megabytes,
12/30/2015,Internet Access,0.0029,Megabytes,
12/30/2015,Internet Access,0.0019,Megabytes,
12/30/2015,Internet Access,0.0029,Megabytes,
12/30/2015,Internet Access,0.0019,Megabytes,
12/30/2015,Internet Access,0.0019,Megabytes,
12/30/2015,Internet Access,0.0029,Megabytes,
12/30/2015,Internet Access,0.0029,Megabytes,
12/30/2015,Internet Access,0.0029,Megabytes,
12/29/2015,Internet Access,0.0029,Megabytes,
12/29/2015,Internet Access,0.0029,Megabytes,
12/29/2015,Internet Access,0.0029,Megabytes,
12/29/2015,Internet Access,0.0029,Megabytes,
12/29/2015,Internet Access,0.0009,Megabytes,
12/29/2015,Internet Access,0.0039,Megabytes,
12/29/2015,Internet Access,0.0029,Megabytes,
12/29/2015,Internet Access,0.0019,Megabytes,
12/29/2015,Internet Access,0.0029,Megabytes,
12/29/2015,Internet Access,0.0019,Megabytes,
12/29/2015,Internet Access,0.0009,Megabytes,
12/29/2015,Internet Access,0.0029,Megabytes,
12/29/2015,Internet Access,0.0029,Megabytes,
12/29/2015,Internet Access,0.0029,Megabytes,
12/29/2015,Internet Access,0.0029,Megabytes,
12/29/2015,Internet Access,0.0117,Megabytes,
12/29/2015,Internet Access,0.0029,Megabytes,
12/21/2015,Internet Access,4.9755,Megabytes,
"The date and time for all data corresponds to Pacific Time (PST/PDT)."
